i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
243,2133000000,3199000000,up,580668418842641,8808.09,12888.39,0
244,3199000000,2133000000,down,580668682273814,8630.49,12963.78,0
245,2133000000,3199000000,up,580668945784093,8950.82,13243.85,0
246,3199000000,2133000000,down,580669209498249,9002.88,13009.86,0
247,2133000000,3199000000,up,580669473045010,8770.05,12786.75,0
248,3199000000,2133000000,down,580669736207376,8475.92,12764.83,0
249,2133000000,3199000000,up,580669999572180,8907.78,13045.29,0
250,3199000000,2133000000,down,580670263158909,9879.58,14073.25,0
251,2133000000,3199000000,up,580670527720960,8607.58,12615.13,0
252,3199000000,2133000000,down,580670790880638,8574.71,12728.96,0
253,2133000000,3199000000,up,580671054146688,8847.07,13019.17,0
254,3199000000,2133000000,down,580671317660552,8260.62,12259.03,0
255,2133000000,3199000000,up,580671580455966,8725.66,12839.36,0
256,3199000000,2133000000,down,580671843838946,8404.31,13147.08,0
257,2133000000,3199000000,up,580672107522479,8982.11,13187.56,0
258,3199000000,2133000000,down,580672371186299,8258.77,12255.32,0
259,2133000000,3199000000,up,580672633960560,8692.67,12712.22,0
260,3199000000,2133000000,down,580672897204050,8626.94,12887.84,0
261,2133000000,3199000000,up,580673160587159,9407.41,13348.88,0
262,3199000000,2133000000,down,580673424415655,8204.4,12366.39,0
263,2133000000,3199000000,up,580673687292927,8750.91,12820.58,0
264,3199000000,2133000000,down,580673950678821,8764.51,13006.85,0
265,2133000000,3199000000,up,580674214200494,9477.49,13460.43,0
266,3199000000,2133000000,down,580674478152449,8418.26,12522.97,0
267,2133000000,3199000000,up,580674741150653,8460.02,12509.82,0
268,3199000000,2133000000,down,580675004218203,8656.47,13200.49,0
269,2133000000,3199000000,up,580675267973674,8685.47,12874.08,0
270,3199000000,2133000000,down,580675531384592,8673.27,12939.97,0
271,2133000000,3199000000,up,580675794891897,9210.98,13518.04,0
272,3199000000,2133000000,down,580676058945712,9593.49,13845.95,0
273,2133000000,3199000000,up,580676323327279,8880.9,13028.58,0
274,3199000000,2133000000,down,580676586898745,8625.69,12786.63,0
275,2133000000,3199000000,up,580676850200349,8963.14,13035.08,0
276,3199000000,2133000000,down,580677113764616,9232.17,13372.62,0
277,2133000000,3199000000,up,580677377620634,8569.94,12489.11,0
278,3199000000,2133000000,down,580677640676216,8455.6,12644.41,0
279,2133000000,3199000000,up,580677903868825,8831.49,13191.08,0
280,3199000000,2133000000,down,580678167599145,8722.24,12818.85,0
281,2133000000,3199000000,up,580678430944462,8950.5,12964.42,0
282,3199000000,2133000000,down,580678694538842,8370.58,12450.04,0
283,2133000000,3199000000,up,580678957586680,9763.19,13954.91,0
284,3199000000,2133000000,down,580679222104475,8397.2,12479.83,0
285,2133000000,3199000000,up,580679485148377,9546.29,13851.93,0
286,3199000000,2133000000,down,580679749481400,8295.92,12408.06,0
287,2133000000,3199000000,up,580680012182606,9832.25,14043.71,0
288,3199000000,2133000000,down,580680276755571,8409.81,12726.08,0
289,2133000000,3199000000,up,580680540122009,8684.44,13041.99,0
290,3199000000,2133000000,down,580680803678277,8508.6,12725.41,0
291,2133000000,3199000000,up,580681066939849,9061.19,13388.31,0
292,3199000000,2133000000,down,580681330838013,8291.31,12381.53,0
293,2133000000,3199000000,up,580681593680822,8730.17,12676.45,0
294,3199000000,2133000000,down,580681856802487,8208.81,13766.27,0
295,2133000000,3199000000,up,580682121163863,8898.75,13065.77,0
296,3199000000,2133000000,down,580682384757828,8388.92,12653.53,0
297,2133000000,3199000000,up,580682647904837,8802.33,13224.2,0
298,3199000000,2133000000,down,580682911669047,9638.61,14029.18,0
299,2133000000,3199000000,up,580683176255101,8936.26,13312.91,0
300,3199000000,2133000000,down,580683440161297,8511.13,12698.59,0
301,2133000000,3199000000,up,580683703322292,8624.76,12548.48,0
302,3199000000,2133000000,down,580683966381491,8931.62,13784.73,0
303,2133000000,3199000000,up,580684230730228,9128.49,13648.98,0
304,3199000000,2133000000,down,580684494916048,8587.7,12716.42,0
305,2133000000,3199000000,up,580684758195253,8872.51,12889.16,0
306,3199000000,2133000000,down,580685021579389,8475.03,13187.85,0
307,2133000000,3199000000,up,580685285355791,8785.15,12871.24,0
308,3199000000,2133000000,down,580685548750392,8462.33,12758.43,0
309,2133000000,3199000000,up,580685812060958,9446.09,13541.78,0
310,3199000000,2133000000,down,580686076218714,8597.85,13014.5,0
311,2133000000,3199000000,up,580686339714310,8625.98,12678.05,0
312,3199000000,2133000000,down,580686602928874,8629.15,12750.37,0
313,2133000000,3199000000,up,580686866157871,8700.25,12870.44,0
314,3199000000,2133000000,down,580687129568056,8557.43,12759.68,0
315,2133000000,3199000000,up,580687392782589,8547.35,12664.38,0
316,3199000000,2133000000,down,580687655893822,8245.81,12558.01,0
317,2133000000,3199000000,up,580687918947871,9034.92,13248.3,0
318,3199000000,2133000000,down,580688182751059,8670.2,12913.57,0
319,2133000000,3199000000,up,580688446138684,8562.26,12663.65,0
320,3199000000,2133000000,down,580688709250910,8307.92,12497.69,0
321,2133000000,3199000000,up,580688972208956,9156.61,13277.33,0
322,3199000000,2133000000,down,580689236274647,8480.5,12732.9,0
323,2133000000,3199000000,up,580689499580798,8885.76,13036.97,0
324,3199000000,2133000000,down,580689763095563,9221.42,13402.58,0
325,2133000000,3199000000,up,580690026999201,8977.7,13193.8,0
326,3199000000,2133000000,down,580690290750964,8664.73,12877.6,0
327,2133000000,3199000000,up,580690554176767,8840.0,12903.62,0
328,3199000000,2133000000,down,580690817561512,8323.86,13297.74,0
329,2133000000,3199000000,up,580691081429694,8869.66,12969.86,0
330,3199000000,2133000000,down,580691344972044,8432.69,12650.17,0
331,2133000000,3199000000,up,580691608178289,8878.08,13039.75,0
332,3199000000,2133000000,down,580691871730047,9159.17,13816.54,0
333,2133000000,3199000000,up,580692136196676,8794.94,13115.02,0
334,3199000000,2133000000,down,580692399848117,8621.66,13167.76,0
335,2133000000,3199000000,up,580692663493926,9503.57,13674.62,0
336,3199000000,2133000000,down,580692927680388,8720.67,13307.34,0
337,2133000000,3199000000,up,580693191547579,9019.59,13714.3,0
338,3199000000,2133000000,down,580693455761626,8551.38,12839.36,0
339,2133000000,3199000000,up,580693719158981,8839.84,12833.03,0
340,3199000000,2133000000,down,580693982652338,8794.43,13197.32,0
341,2133000000,3199000000,up,580694246393477,9001.48,13363.34,0
342,3199000000,2133000000,down,580694510323678,9535.47,13852.19,0
343,2133000000,3199000000,up,580694774700289,8742.65,12801.92,0
344,3199000000,2133000000,down,580695038120461,8752.0,13060.49,0
345,2133000000,3199000000,up,580695301729437,8835.52,13053.32,0
346,3199000000,2133000000,down,580695565255404,9081.12,13230.48,0
347,2133000000,3199000000,up,580695828968895,8601.75,12683.71,0
348,3199000000,2133000000,down,580696092167845,8763.04,13176.4,0
349,2133000000,3199000000,up,580696355904377,8951.91,13359.63,0
350,3199000000,2133000000,down,580696619728751,8545.72,12982.82,0
