i,from,to,direction,t_write_ns,write_us,readback_us,readback_timeout
245,612000000,1020000000,up,580447207766626,4946.3,6345.66,0
246,1020000000,612000000,down,580447464632635,5237.41,6715.59,0
247,612000000,1020000000,up,580447721832540,4757.18,6112.66,0
248,1020000000,612000000,down,580447978591858,5018.05,6601.16,0
249,612000000,1020000000,up,580448235671472,4630.1,5906.55,0
250,1020000000,612000000,down,580448492209025,5156.86,6613.16,0
251,612000000,1020000000,up,580448749289952,4620.34,5948.76,0
252,1020000000,612000000,down,580449005739758,5245.28,6781.16,0
253,612000000,1020000000,up,580449263029714,5037.37,6369.98,0
254,1020000000,612000000,down,580449519921292,5068.22,6614.69,0
255,612000000,1020000000,up,580449776991499,4715.73,6037.81,0
256,1020000000,612000000,down,580450033533628,5258.47,6847.34,0
257,612000000,1020000000,up,580450290883970,4947.61,6325.69,0
258,1020000000,612000000,down,580450547718843,5102.46,6681.61,0
259,612000000,1020000000,up,580450804956383,4905.47,6328.8,0
260,1020000000,612000000,down,580451061749527,4733.24,6030.52,0
261,612000000,1020000000,up,580451318234951,4680.44,6126.3,0
262,1020000000,612000000,down,580451574869404,5234.66,6553.15,0
263,612000000,1020000000,up,580451831926747,5310.63,7025.42,0
264,1020000000,612000000,down,580452089498599,5026.62,6724.68,0
265,612000000,1020000000,up,580452346746059,5234.18,6649.77,0
266,1020000000,612000000,down,580452603931758,4930.84,6444.45,0
267,612000000,1020000000,up,580452860887755,4984.96,6415.87,0
268,1020000000,612000000,down,580453117815463,4859.96,6441.25,0
269,612000000,1020000000,up,580453374759972,5062.94,6419.84,0
270,1020000000,612000000,down,580453631710081,4878.04,6208.28,0
271,612000000,1020000000,up,580453888428280,5137.95,6647.56,0
272,1020000000,612000000,down,580454145597371,4937.31,6388.26,0
273,612000000,1020000000,up,580454402629275,5162.85,6546.76,0
274,1020000000,612000000,down,580454659705020,4835.83,6220.15,0
275,612000000,1020000000,up,580454916465812,5217.73,6782.89,0
276,1020000000,612000000,down,580455173723290,4884.28,6206.71,0
277,612000000,1020000000,up,580455430557973,4843.86,6252.6,0
278,1020000000,612000000,down,580455687339439,5248.64,6687.43,0
279,612000000,1020000000,up,580455944572308,5348.77,6857.64,0
280,1020000000,612000000,down,580456201958973,5284.87,6945.36,0
281,612000000,1020000000,up,580456459462057,5135.17,6510.27,0
282,1020000000,612000000,down,580456716487721,5239.49,6684.97,0
283,612000000,1020000000,up,580456973678957,5352.32,7004.43,0
284,1020000000,612000000,down,580457231235995,5506.02,7151.31,0
285,612000000,1020000000,up,580457488948781,4989.18,6427.07,0
286,1020000000,612000000,down,580457745877643,5076.73,6577.28,0
287,612000000,1020000000,up,580458002995886,5051.26,6583.56,0
288,1020000000,612000000,down,580458260136946,4997.15,6407.3,0
289,612000000,1020000000,up,580458517069616,5030.33,6406.14,0
290,1020000000,612000000,down,580458774013039,4847.64,6429.57,0
291,612000000,1020000000,up,580459031087217,5035.52,6692.94,0
292,1020000000,612000000,down,580459288337016,5021.24,6411.14,0
293,612000000,1020000000,up,580459545318297,5046.05,6404.45,0
294,1020000000,612000000,down,580459802235127,6273.85,7986.28,0
295,612000000,1020000000,up,580460060755198,5201.57,6723.11,0
296,1020000000,612000000,down,580460317952228,4913.88,6355.61,0
297,612000000,1020000000,up,580460574837186,4813.66,6302.72,0
298,1020000000,612000000,down,580460831649439,5278.18,6700.45,0
299,612000000,1020000000,up,580461088864997,4949.18,6312.28,0
300,1020000000,612000000,down,580461345663298,4665.23,5902.71,0
301,612000000,1020000000,up,580461602034292,5157.18,6747.18,0
302,1020000000,612000000,down,580461859327228,5081.37,6594.37,0
303,612000000,1020000000,up,580462116473410,5626.35,7306.9,0
304,1020000000,612000000,down,580462374342425,5363.59,6862.19,0
305,612000000,1020000000,up,580462631663235,4967.39,6280.96,0
306,1020000000,612000000,down,580462888476000,5373.25,6993.07,0
307,612000000,1020000000,up,580463146005232,5228.29,6801.83,0
308,1020000000,612000000,down,580463403286809,4774.81,6094.9,0
309,612000000,1020000000,up,580463659893041,4964.86,6425.98,0
310,1020000000,612000000,down,580463916820306,5101.28,6537.6,0
311,612000000,1020000000,up,580464173871894,4881.11,6356.32,0
312,1020000000,612000000,down,580464430703796,4804.7,6238.33,0
313,612000000,1020000000,up,580464687457873,5315.78,6660.58,0
314,1020000000,612000000,down,580464944641560,5246.98,6649.6,0
315,612000000,1020000000,up,580465201786302,4592.5,5854.19,0
316,1020000000,612000000,down,580465458144465,5192.99,6655.85,0
317,612000000,1020000000,up,580465715300184,5044.19,6356.26,0
318,1020000000,612000000,down,580465972246266,5246.43,6691.18,0
319,612000000,1020000000,up,580466229464739,4869.72,6247.19,0
320,1020000000,612000000,down,580466486234176,5185.7,6631.46,0
321,612000000,1020000000,up,580466743405704,4898.11,6221.44,0
322,1020000000,612000000,down,580467000209191,5190.72,6728.3,0
323,612000000,1020000000,up,580467257524530,5292.55,6802.57,0
